in3,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00
$3,6.33481e+00,6.33481e+00,6.33481e+00,6.33481e+00,4.73933e+00,4.73933e+00,4.73933e+00,4.73933e+00,5.88123e+00,5.88123e+00,5.88123e+00,5.88123e+00,1.45164e-01,1.45164e-01,1.45164e-01,1.45164e-01
$1,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02
out,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02,2.96000e-02
$5,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02
$7,3.29641e+00,3.29641e+00,3.29641e+00,3.29641e+00,1.87538e-02,1.87538e-02,1.87538e-02,1.87538e-02,3.29641e+00,3.29641e+00,3.29641e+00,3.29641e+00,1.87538e-02,1.87538e-02,1.87538e-02,1.87538e-02
in4,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00
$6,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02
$2,1.57939e-01,2.90854e-03,1.57939e-01,2.90854e-03,1.57939e-01,2.90854e-03,1.57939e-01,2.90854e-03,1.57939e-01,2.90854e-03,1.57939e-01,2.90854e-03,1.57939e-01,2.90854e-03,1.57939e-01,2.90854e-03
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$4,2.73184e-02,2.73184e-02,2.73184e-02,2.73184e-02,1.59693e-01,1.59693e-01,1.59693e-01,1.59693e-01,6.98583e-02,6.98583e-02,6.98583e-02,6.98583e-02,3.54449e+00,3.54449e+00,3.54449e+00,3.54449e+00
in1,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00
