in3,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true
$8,false,false,true,false,false,false,true,false,false,false,true,false,false,false,true,false
$9,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false
out,false,true,true,false,false,true,true,false,false,true,true,true,false,true,true,true
$4,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false
$6,true,true,false,true,true,true,false,true,false,false,false,false,false,false,false,false
in2,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true
$1,false,true,true,false,false,true,true,false,false,true,true,true,false,true,true,true
$2,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false
$7,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,false
$3,true,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false
$5,false,false,true,false,false,false,true,false,false,false,true,true,false,false,true,true
in4,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true
in1,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true
