$1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
$9,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93
$2,0.91,0.91,0.91,0.91,0.91,0.91,1.00,1.00,0.91,0.91,0.91,0.91,0.91,0.91,1.00,1.00
$4,0.93,0.93,0.94,0.94,0.97,0.97,0.96,0.96,0.93,0.93,0.94,0.94,0.97,0.97,0.96,0.96
$5,0.91,0.90,0.91,0.90,0.91,0.90,0.91,0.90,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
$6,1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.99,1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.99
$8,0.97,0.97,0.91,0.91,0.97,0.97,0.91,0.91,0.95,0.95,0.92,0.92,0.95,0.95,0.92,0.92
$7,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
$3,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.95,0.94,0.95,0.94,0.95,0.94,0.95
$11,0.88,0.89,0.88,0.89,0.88,0.89,0.88,0.89,0.88,0.89,0.88,0.89,0.88,0.89,0.88,0.89
$10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
