out,1.01173e+00,2.27853e+00,2.65757e+00,2.28568e+00,1.01173e+00,2.27853e+00,2.65757e+00,2.28568e+00,1.01173e+00,2.27853e+00,2.65757e+00,2.28568e+00,1.01173e+00,2.27853e+00,2.65757e+00,2.28568e+00
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
in3,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
$4,7.10520e-01,9.64832e-02,1.17830e-01,9.50052e-02,7.10520e-01,9.64832e-02,1.17830e-01,9.50052e-02,7.10520e-01,9.64832e-02,1.17830e-01,9.50052e-02,7.10520e-01,9.64832e-02,1.17830e-01,9.50052e-02
$3,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02
in4,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00
$2,1.30133e+00,1.08860e+00,2.28780e+00,1.08861e+00,1.30133e+00,1.08860e+00,2.28780e+00,1.08861e+00,1.30133e+00,1.08860e+00,2.28780e+00,1.08861e+00,1.30133e+00,1.08860e+00,2.28780e+00,1.08861e+00
$5,6.36146e-01,6.36146e-01,4.71065e-02,4.71065e-02,6.36146e-01,6.36146e-01,4.71065e-02,4.71065e-02,1.75304e-02,1.75304e-02,8.45027e-03,8.45027e-03,1.75304e-02,1.75304e-02,8.45027e-03,8.45027e-03
$1,1.22800e+00,4.60772e+00,4.35612e+00,4.62558e+00,1.22800e+00,4.60772e+00,4.35612e+00,4.62558e+00,1.22800e+00,4.60772e+00,4.35612e+00,4.62558e+00,1.22800e+00,4.60772e+00,4.35612e+00,4.62558e+00
