in2,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00
in4,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00
$3,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02
$1,1.15603e-01,4.98339e-02,1.15603e-01,4.98339e-02,1.15603e-01,4.98339e-02,1.15603e-01,4.98339e-02,1.90196e+00,1.21761e-01,1.90196e+00,1.21761e-01,1.90196e+00,1.21761e-01,1.90196e+00,1.21761e-01
out,5.05639e-02,2.42561e-02,4.72641e-02,2.09563e-02,5.05639e-02,2.42561e-02,4.72641e-02,2.09563e-02,7.65106e-01,5.30271e-02,7.61806e-01,4.97273e-02,7.65106e-01,5.30271e-02,7.61806e-01,4.97273e-02
$5,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02
$7,5.83550e+00,3.21292e-01,5.83550e+00,3.21292e-01,7.36572e-01,1.72284e-01,7.36572e-01,1.72284e-01,5.83550e+00,3.21292e-01,5.83550e+00,3.21292e-01,7.36572e-01,1.72284e-01,7.36572e-01,1.72284e-01
$6,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02
$2,1.08064e-02,1.08064e-02,2.55689e-03,2.55689e-03,1.08064e-02,1.08064e-02,2.55689e-03,2.55689e-03,1.08064e-02,1.08064e-02,2.55689e-03,2.55689e-03,1.08064e-02,1.08064e-02,2.55689e-03,2.55689e-03
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
$4,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00,3.69495e+00
in1,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00
