$1,1.95181e+00,1.67086e+00,1.96239e+00,1.70950e+00,1.95181e+00,1.67086e+00,1.96239e+00,1.70950e+00,1.95164e+00,1.67011e+00,1.95209e+00,1.67204e+00,1.95164e+00,1.67011e+00,1.95209e+00,1.67204e+00
$6,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$7,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02
$11,6.48018e+00,6.48018e+00,3.37652e-01,3.37652e-01,6.48018e+00,6.48018e+00,3.37652e-01,3.37652e-01,6.48018e+00,6.48018e+00,3.37652e-01,3.37652e-01,6.48018e+00,6.48018e+00,3.37652e-01,3.37652e-01
$9,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01
$2,5.57797e-02,9.37842e-02,5.57797e-02,9.37842e-02,5.57797e-02,9.37842e-02,5.57797e-02,9.37842e-02,5.57797e-02,9.37842e-02,5.57797e-02,9.37842e-02,5.57797e-02,9.37842e-02,5.57797e-02,9.37842e-02
$4,1.74433e+00,2.42239e-01,1.74433e+00,2.42239e-01,1.74433e+00,2.42239e-01,1.74433e+00,2.42239e-01,1.74433e+00,2.42239e-01,1.74433e+00,2.42239e-01,1.74433e+00,2.42239e-01,1.74433e+00,2.42239e-01
$5,1.07532e+00,1.07532e+00,1.59463e+00,1.59463e+00,1.07532e+00,1.07532e+00,1.59463e+00,1.59463e+00,1.06832e+00,1.06832e+00,1.08653e+00,1.08653e+00,1.06832e+00,1.06832e+00,1.08653e+00,1.08653e+00
out,7.80725e-01,6.68342e-01,7.84956e-01,6.83800e-01,7.80725e-01,6.68342e-01,7.84956e-01,6.83800e-01,7.80656e-01,6.68043e-01,7.80835e-01,6.68815e-01,7.80656e-01,6.68043e-01,7.80835e-01,6.68815e-01
$8,8.20632e-01,8.20632e-01,2.94712e-02,2.94712e-02,6.40635e-03,6.40635e-03,3.66312e-03,3.66312e-03,8.20632e-01,8.20632e-01,2.94712e-02,2.94712e-02,6.40635e-03,6.40635e-03,3.66312e-03,3.66312e-03
in1,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00
$3,9.96386e-02,1.14299e-01,9.79273e-02,1.06112e-01,9.96386e-02,1.14299e-01,9.79273e-02,1.06112e-01,9.96666e-02,1.14461e-01,9.95939e-02,1.14044e-01,9.96666e-02,1.14461e-01,9.95939e-02,1.14044e-01
in4,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00,6.94000e-02,1.15440e+00
$10,3.76317e+00,3.76317e+00,3.76317e+00,3.76317e+00,3.76317e+00,3.76317e+00,3.76317e+00,3.76317e+00,5.26371e-02,5.26371e-02,5.26371e-02,5.26371e-02,5.26371e-02,5.26371e-02,5.26371e-02,5.26371e-02
in3,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00
