out,false,true,false,true,false,true,false,true
$7,true,true,true,true,true,true,true,true
$2,false,false,false,false,false,false,false,false
$3,false,false,false,false,false,false,false,false
$5,false,false,false,false,false,false,false,false
in3,false,false,true,true,false,false,true,true
$4,true,false,true,false,true,false,true,false
$6,true,true,true,true,true,true,true,true
in1,false,true,false,true,false,true,false,true
in2,false,false,false,false,true,true,true,true
$1,false,true,false,true,false,true,false,true
