Rank,Circuit Score,Toxicity Score,Roadblocking,Permutation
1,67.10547087790754,0.7534674525577123,False,[11  1 15 19  2 13]
2,50.437234716599605,0.7769972524408103,False,[15 19 11 13  1  2]
3,49.478980233294685,0.7771019846796781,False,[15  2 11 13  1 19]
4,44.87019736857331,0.7557301376082181,False,[19  1 15 11  2 13]
5,44.5889498700737,0.7722077072950327,False,[ 5  2 11  1 19 15]
6,42.80389327027287,0.7637978024648479,False,[11 19  5  1 15  2]
7,41.89033052677958,0.7568050967162485,False,[11  2  5 13  1 19]
8,41.87510036991563,0.7750627789312655,False,[11 19  5 15  1  2]
9,41.14463202286154,0.7536993680427332,False,[15 19  2  1 11 13]
10,38.56677804871827,0.7591392462804788,False,[ 2 11 15  1 19 13]
11,38.508031601608046,0.7728922395993303,False,[ 5  2 11 19  1 15]
12,37.92949570025992,0.7910463455294994,False,[ 4  2 11  1 19 15]
13,37.539684861482755,0.7900516792719215,False,[ 5 19 11  1 15  2]
14,37.320013591237185,0.7785410742294606,False,[ 5 17 11  1 15  2]
15,37.00933303270379,0.7789377865250189,False,[ 5 15 11  1 19  2]
16,36.89580108693211,0.7548925228020266,False,[19 15  2  1 11 13]
17,36.649012985362575,0.7561000597048574,False,[11  2  5 13 15 19]
18,36.610193017450825,0.7632452896154115,False,[11  2  5  1 19 15]
19,36.30689540286325,0.7692289395216787,False,[ 2 19 15  1 11 13]
20,36.187948430456096,0.7507978023070242,False,[11  2 15  1 19 13]
